NO,순번,표준단어명,표준단어 영문약어명,표준단어 영문명,표준단어 설명,형식단어여부,표준도메인분류명,이음동의어 목록,금칙어 목록,변경구분,변경일자,범정부표준준수 여부,범정부표준적용 차수,최종수정일시
828,828,편집,EDIT/ EDITING,EDIT,신문·잡지·사전· 단행본 등의 저작물을 간행하기 위해 수집한 기사·원고를 특정 기획에 따라 보충·선택·정정하고 배열하여 형식을 갖추는 일,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
829,829,에디터,EDITOR (PROGRAM),EDTR,원시(原始) 프로그램을 수정하여 새로운 원시 프로그램을 만들거나， 문장을 편집하는 기능을 갖는 프로그램,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
830,830,교육,EDUCATION,EDU,지식과 기술 따위를 가르치며 인격을 길러 줌,N,,교육용,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
831,831,피교육자,EDUCATEE,EDUCTE,교육을 받는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
832,832,효율,EFFICIENCY,EFFC,들인 노력(勞力)과 얻은 결과와의 비율. 일의 능률,Y,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
833,833,방류수,EFFLUENT,EFLNT,하수， 폐수 또는 이들의 처리수로써 하천， 기타 수역에 방류 처분되는 물,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
834,834,효과,EFFECT,EFT,1. 어떤 목적을 지닌 행위에 의하여 드러나는 보람이나 좋은 결과
2. 소리나 영상 따위로 그 장면에 알맞은 분위기를 인위적으로 만들어 실감을 자아내는 일,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
835,835,발효,EFFECTIVATION,EFTVN,조약， 법， 공문서 따위의 효력이 나타남. 또는 그 효력을 나타냄,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
836,836,오차,ERROR GAP,EGAP,실지로 셈하거나 측정한 값과 이론적으로 정확한 값과의 차이,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
837,837,에너지절약목표,ENERGY ECONOMY GOAL,EGEG,에너지를 함부로 쓰지 아니하고 꼭 필요한 데에만 써서 아끼는 목적을 이루려고 지향하는 실제적 대상으로 삼음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
838,838,여덟번째,EIGHTH,EGHTH,여덟 번째. 8회자의 차례나 횟수,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
839,839,멸종위기종,ENDANGERED SPECIES,EGSPCS,국제 자연 보호 연맹에서 가까운 미래에 멸종 위험이 높은 희귀종으로 지정한 야생 생물,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
840,840,전기,ELECTRICITY,ELEC,물질 안에 있는 전자 또는 공간에 있는 자유 전자나 이온들의 움직임 때문에 생기는 에너지의 한 형태,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
841,841,고라니,ELK,ELK,사슴과의 하나,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
842,842,요소,ELEMENT,ELM,1. 사물의 성립이나 효력 발생 따위에 꼭 필요한 성분
2. 그 이상 더 간단하게 나눌 수 없는 성분,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
843,843,경과,ELAPSE,ELPS,1. 어떤 단계나 시기， 장소를 거침
2. 일이 되어가는 과정,N,,,,수정,2021-07-14 00:00:00.0,Y,6차,20241111 13:35:04
844,844,타원체,ELLIPSOID,ELPSD,타원이 그 장축이나 단축을 축으로 회전하여 생긴 입체,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
845,845,열한번째,ELEVENTH,ELTH,열 한번째. 11회자의 차례나 횟수,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
846,846,전자,ELECTRON,ELTR,음전하를 가지고 원자핵의 주위를 도는 소립자의 하나,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
847,847,전광판,ELECTRONIC DISPLAY (BOARD),ELTRD,여러?개의?전구를?평면에?배열하고?전류를?통하여?그림이나?문자?따위가?나타나도록?만든?판,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
848,848,배출활동,EMISSION ACTIVITY,EMAT,안에서 밖으로 밀어 내보내는 일의 성과를 거두기 위하여 몸을 움직여 행동함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
849,849,배출계수,EMISSION COEFFICIENT,EMCOEF,당해 배출시설의 단위 연료 사용량， 단위 제품 생산량， 단위 원료 사용량， 단위 폐기물 소각량 또는 처리량 등 활동자료 단위당 발생하는 온실가스 배출량을 나타내는 계수,N,,배출계수별,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
850,850,배출권,EMMISION CREDIT,EMCRD,오염물질이나 기체 따위를 밖으로 내보낼 수 있는 권리,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
851,851,읍면동,EUP MYEON DONG,EMD,행정 구역 단위인 읍과 면과 동을 아울러 이르는 말,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
852,852,정수식물,EMERGED PLANT,EMGPLT,물에서 사는 수생식물 중， 주로 물가의 가장자리에 생육하며 뿌리 부근이 물에 잠기고 줄기를 수면 위로 내민 식물군,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
853,853,이메일,EMAIL,EML,컴퓨터의 단말기 이용자끼리 통신 회선을 이용하여 주고받는 글,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
854,854,직원,EMPLOYEE,EMP,일정한 직장에 근무하는 사람을 통틀어 이르는 말,N,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
855,855,사원증,EMPLOYEE CARD,EMPC,회사에 재직중인 임직원임을 나타내는 신분증,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
856,856,비상시,EMERGENCY SITUATION,EMRG,뜻밖의 긴급한 사태가 일어난 때,N,,긴급， 비상,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
857,857,우화,EMERGENCE,EMRN,번데기가 날개 있는 성충이 됨,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
858,858,배출,EMISSION,EMSN,排出 안에서 밖으로 밀어 내보냄
(해양오염방지법) 기름·유해액체물질등 또는 광재등 폐기물을 해양에 누출·유출 또는 투기하는 것
(원자력법 시행령) 방사성물질 또는 그에 의하여 오염된 물질(이하 방사성물질등이라 한다)로서 원자력이용시설에서 정상운전중에 발생한 액체상 또는 기체상의 방사성물질등을 과학기술부장관이 정하는 제한값 이내에서 배수시설 또는 배기시설을 통하여 계획적이고 통제된 상태하에서 외부로 내보내는 것,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
859,859,배출원,EMISSION SOURCE,EMSRC,오염물질을 배출하는 근원지,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
860,860,배출자,EMITTER,EMTR,폐수， 쓰레기 따위를 밖으로 내보낸 사람,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
861,861,암호화,ENCRYPTION,ENCPT,暗號化. 통신할 내용을 일정한 체계에 따라 암호로 바꿈,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
862,862,종료,END,END,어떤 행동이나 일 따위가 끝남. 또는 행동이나 일따위를 끝마침,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
863,863,종료점,END POINT,ENDPT,어떠한 것이 마지막으로 일어나거나 종료되는 곳,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
864,864,출입,ENTRANCE AND EXIT,ENEX,出入어느 곳을 드나듦,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
865,865,출입증,ENTRANCE AND EXIT PASS,ENEXP,출입 할 수 있도록 허가한 증표,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
866,866,시행,ENFORCEMENT,ENFC,施行. 실지로 행함. 법령을 공포한 뒤에 그 효력을 실제로 발생시키는 일,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
867,867,영문,ENGLISH,ENG,영어로 쓴 글,N,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
868,868,생태자연도,ECOLOGICAL AND NATURAL MAP,ENM,환경부가 전국 산ㆍ하천ㆍ내륙습지ㆍ호소ㆍ농지ㆍ도시 등에 대하여 생태적 가치， 자연성， 경관적 가치 등을 조사하여 이에 따라 등급화하여 작성한 지도를 말한다. 즉， 조사한 각종 자연환경정보를 바탕으로 1등급(보전)ㆍ2등급(훼손 최소화)ㆍ3등급(개발) 권역과 별도관리지역(법률상 보호지역)으로 구분하여 전 국토의 생태적 가치를 평가， 등급화한다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
869,869,나열,ENUMERATE,ENMR,1. 죽 벌여 놓음. 또는 죽 벌여 있음
2. 나란히 줄을 지음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
870,870,문의,ENQUIRY,ENQY,물어서 의논함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
871,871,에너지,ENERGY,ENRG,물리량의 하나. 물체나 물체계가 가지고 있는 일을하는 능력의 총칭,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
872,872,입항,ENTRY (INTO) PORT,ENTPT,배가 항구에 들어오거나 들어감,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
873,873,입장,ENTERANCE,ENTR,入場 회장이나 식장˙경기장 따위의 장내에 들어감,N,,진입,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
874,874,엔티티,ENTITY,ENTT,인간이 생각하는 개념 또는 정보의 세계에서는 의미있는 정보의 단위로， 일반적으로 데이터베이스 분야에서 이를 실체 또는 개체라 표현하여 가장 많이 사용됨,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
875,875,환경,ENVIRONMENT,ENV,생물에게 직접/간접으로 영향을 주는 자연적 조건이나 사회적 상황,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
876,876,환경생태유량,ENVIRONMENTAL FLOW,ENVFLW,건강한 수생태계를 유지하기 위한 최소한의 유량,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
877,877,봉투,ENVELOPE,ENVP,封套 편지나 서류 따위를 넣기 위하여 종이 따위로 만든 주머니,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
878,878,환경주제도,ENVIRONMENTAL THEMATIC MAP,ENVTHM,주제별로 맞춤 정보 제공을 위해 환경분야 데이터를 지도화하여 시각화된 공간정보를 제공하고 설명을 추가하여 “주제도 + 콘텐츠”형태로 제작된 지도,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
879,879,서양등골나물,EUPATORIUM RUGOSUM HOUTT,EPH,국화과의 여러해살이 풀. 높이 0.3~1.3미터이고 윗부분에 털이 있고 줄기는 짧다. 길이 2~10cm의 긴 타원형 잎이 마주나고 잎자루는 2~6cm이며， 늦여름부터 가을까지 꽃을 피운다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
880,880,수출항,EXPORT PORT,EPRT,주로 국내의 물품을 외국에 수출하는 항구,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
881,881,폭발,EXPLOSION,EPS,불이 일어나면 갑작스럽게 터짐,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
882,882,에피소드,EPISODE,EPSD,1. 남에게 알려지지 아니한 재미있는 이야기
2. 어떤 이야기나 사건의 줄거리에 끼인 짤막한 토막 이야기,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
883,883,서한문,EPISTLE,EPST,편지에 쓰는 특수한 형식의 문체,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
884,884,유수성,EUPOTAMIC,EPTMC,흐르는 물에 떠서 사는 성질,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
885,885,장비,EQUIPMENT,EQPMNT,裝備. 갖추어 차림. 또는 그 장치와 설비,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
886,886,배출허용기준,EFFLUENT QUALITY STANDARD,EQS,환경보전법에서 규정한 오염물질， 악취 발생물， 소음， 진동 등에 관하여 규정된 기준,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
887,887,수식,EQUATION,EQTN,수나 양을 나타내는 숫자나 문자로 수학적인 뜻을 나타내도록 한 식,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
888,888,균등,EQUAL,EQUL,均等 고르고 가지런하여 차별이 없음,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
889,889,농축,ENRICHMENT,ERCT,액체를 진하게 또는 바짝 졸임,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
890,890,조기,EARLY,ERLY,이른 시기,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
891,891,ERPG,EMERGENCY RESPONSE PLANNING GUIDELINE,ERPG,비상대응계획지침,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
892,892,오류,ERROR,ERR,1. 그릇되어 이치에 맞지 않는 일
2. 기계적인 오작동이나 연산 처리 장치의 잘못된 동작， 소프트웨어의 잘못 때문에 생기는 계산값과 참값과의 오차,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
893,893,말소,ERASURE,ERSR,抹消. 기록되어 있는 사실 따위를 지워서 아주 없애 버림,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
894,894,전자수입인지,E-REVENUE STAMP,ERSTP,국고수입이 되는 세입금의 징수를 위하여 기획재정부가 발행하고 있는 인지로써 수입인지에 관한 법률 제2조제2항에 따라， 정보통신망을 통하여 발행하는 수입인지,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
895,895,대지,EARTH,ERTH,1. 대자연의 넓고 큰 땅
2. 집터로서의 땅,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
896,896,병설,ESTABLISH STH AS AN ANNEX,ESANX,두 가지 이상을 아울러 한곳에 갖추거나 세움,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
897,897,필수,ESSENTIAL,ESNTL,必需. 반드시 있어야 함. 또는 반드시 쓰임,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
898,898,고유종,ENDEMIC SPECIES,ESP,특정 지역에만 분포하는 생물의 종,N,,,,수정,2021-07-21 00:00:00.0,N,,20241111 13:35:04
899,899,제개정,ESTABLISHMENT REVISION,ESRV,제정과 개정을 동시에 일컫는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
900,900,생태계,ECOSYSTEM,ESSTM,어느 환경 안에서 사는 생물군과 그 생물들을 제어하는 제반 요인을 포함한 복합 체계. 생태학의 대상이 된다.,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
901,901,제정,ESTABLISH,ESTB,制定 제도나 법률 따위를 만들어서 정함,N,,성립， 수립,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
902,902,개설,ESTABLISHMENT,ESTBL,開設. 설비나 제도 따위를 새로 마련하고 그에 관한 일을 시작함,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
903,903,예규,ESTABLISHED RULE,ESTRL,例規관청이나 회사에서 내부의 사무에 관한 기준을 보이기 위하여 정한 규칙,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
904,904,동쪽,EASTERN,ESTRN,해가 떠오르는 쪽. 동방,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
905,905,에틸벤젠,ETHYL BENZENE,ETBZ,벤젠핵의 수소 하나가 에틸기로 치환된 화합물. 무색의 액체로 물에 녹지 않으며 스틸렌의 제조 원료， 용제， 가솔린 배합용으로 쓰인다,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
906,906,기타,ET CETERA,ETC,其他. 그 밖의 또 다른 것,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
907,907,추출물,EXTRACT,ETCT,액체 또는 고체 혼합물에서 추출에 의해 분리한 물질,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
908,908,발전,ELECTRICITY GENERATION,ETGT,전기를 일으킴,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
909,909,읍,EUP,EUP,시(市)나 군(郡)에 속한 지방 행정 구역 단위의 하나. 인구 2만 이상이 되어야 하나， 2만 미만인 경우도 있다,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
910,910,평가자,EVALUATOR,EVALR,특정한 대상의 상태， 능력， 수준 따위를 헤아려 따지는 일을 하는 사람,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
911,911,증빙,EVIDENCE,EVDN,어떤 사실을 증거를 들어 증명함,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
912,912,증빙자료,EVIDENCE DATA,EVDT,어떤 사실을 증거를 들어 증명하기 위한 정보,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
913,913,평가등급,EVALUATION GRADE,EVGD,평가에 대한 결과 등급,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
914,914,평가,EVALUATION,EVL,1. 물품의 가격을 매김
2. 선악· 미추(美醜) 등 가치를 논정함. 또는 그 가치나 수준,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
915,915,평가위원,EVALUATION COMMITTEE,EVLCMT,사람이나 사물의 가치나 수준 따위를 일정한 기준에 의하여 따져 매기기 위하여 선출되거나 임명된 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
916,916,저녁,EVENING,EVNG,해가 질 무렵부터 밤이 되기까지의 사이,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
917,917,균등도,EVENNESS,EVNS,군집 구성 생물종 간의 개체수의 균등성을 지시하는 지수 혹은 그 개념,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
918,918,이벤트,EVENT,EVNT,1. 불특정의 사람들을 모아 놓고 개최하는 행사 또는 사건
2. 프로그램이 반응하도록 사용자가 생성시키는 동작 또는 일(사건),N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
919,919,총량,ENTIRE WEIGHT,EWGHT,전체의 양 또는 무게,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
920,920,실시,EXECUTE,EXC,실제로 행함,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
921,921,엑셀,EXCEL,EXCEL,MS사의 스프레드시트 프로그램,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
922,922,제외,EXCLUSION,EXCL,除外. 따로 떼어내어 한데 헤아리지 않음,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
923,923,우수,EXCELLENT,EXCLN,優秀 여럿 가운데 뛰어남,N,,우량,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
924,924,실행중,EXECUTION,EXCN,실제로 행해지는 과정중,N,,실행,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
925,925,외,EXCEPTION (OUT OF RANGE),EXCP,일정한 범위나 한계를 벗어남을 나타내는 말,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
926,926,특이,EXCEPTION,EXCPTN,特異. 보통 것이나 보통 상태에 비하여 두드러지게 다름,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
927,927,실행자,EXECUTE PERSON,EXCR,실제로 행하는 사람,N,,수행자,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
928,928,전시,EXHIBIT,EXHB,여러 가지 물품을 한곳에 벌여 놓고 보임,N,,전시회,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
929,929,예시,EXAMPLE,EXM,예를 들어 보임,N,,보기， 사례， 예제,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
930,930,조사,EXAMINATION,EXMN,調査. 사물의 내용을 명확히 알기 위하여 자세히 살펴보거나 찾아봄,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
931,931,조사자,EXAMINER,EXMNR,調査者. 사물의 내용을 명확히 알기 위하여 자세히 살펴보거나 찾아보는 사람,N,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
932,932,면제,EXEMPTION,EXMPTN,免除. 책임이나 의무 등을 면하여 줌,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
933,933,기대,EXPECT,EXPC,어떤 일이 원하는 대로 이루어지기를 바라면서 기다림,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
934,934,확대,EXPAND,EXPD,모양이나 규모 따위를 더 크게 함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
935,935,기대효과,EXPECTATION EFFECT,EXPEFT,어떤 일을 진행함으로써 나타날 수 있는 이점을 의미함,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
936,936,해설,EXPLAIN,EXPL,문제나 사건의 내용 따위를 알기 쉽게 풀어 설명함. 또는 그런 글이나 책,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
937,937,설명,EXPLANATION,EXPLN,說明. 어떤 일이나 대상의 내용을 상대편이 잘 알 수 있도록 밝혀 말함. 또는 그런 말,Y,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
938,938,수출자,EXPORT PERSON,EXPR,국내의 상품이나 기술을 외국으로 팔아 내보내는 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
939,939,표출,(DISCLOSURE) EXPRESSION,EXPRS,겉으로 나타냄,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
940,940,만료,EXPIRY,EXPRY,滿了. 기한이 다 차서 끝남,N,,,,제정,2023-09-06 00:00:00.0,Y,3차,20241111 13:35:04
941,941,노출,EXPOSURE,EXPSR,露出 겉으로 드러나거나 드러냄,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
942,942,수출,EXPORT,EXPT,輸出 국내의 상품이나 기술 따위를 외국으로 팔아 내보냄
(대외무역법시행령) 다음 각 목의 어느 하나에 해당하는 것
(지방세법) 관세법 제2조의 규정에 의한 수입 또는 수출
(자유무역지역의지정및운영에관한법률) 관세법 제2조제2호의 규정에 의한 수출.(관세법) 내국물품을 외국으로 반출하는 것,N,,,,수정,2021-07-14 00:00:00.0,Y,6차,20241111 13:35:04
943,943,전문가,EXPERT/PROFESSIONAL PERSON,EXPTR,어떤 분야를 연구하거나 그 일에 종사하여 그 분야에 상당한 지식과 경험을 가진 사람,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
944,944,폐열,EXHAUST HEAT,EXSH,쓰고난 열,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
945,945,존재,EXIST,EXST,현실에 실제로 있음. 또는 그런 대상,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
946,946,현행,EXISTING,EXSTN,현재 행하여지고 있음. 또는 행하고 있음,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
947,947,연장,EXTENSION,EXT,1. 시간이나 거리따위를 본래보다 길게 늘림
2. 물건의 길이나 걸어간 거리 따위를 일괄하였을 때의 전체 길이
3. 어떤 일의 계속. 또는 하나로 이어지는 것,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
948,948,확장자,FILE EXTENSION,EXTN,컴퓨터에서 관리하는 파일 종류를 구별하기 위하여 파일명의 마침표 뒤에 붙이는 문자,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
949,949,확장,EXTEND,EXTND,범위， 규모， 세력 따위를 늘려서 넓힘,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
950,950,추출,EXTRACTION,EXTR,抽出. 전체 속에서 어떤 물건， 생각， 요소 따위를 뽑아냄. 모집단(母集團)에서 표본을 뽑아내는 일,N,,,,수정,2021-07-14 00:00:00.0,Y,1차,20241111 13:35:04
951,951,소멸,EXTINGUISHMENT,EXTSH,消滅. 사라져 없어짐,N,,,,제정,2023-09-06 00:00:00.0,Y,4차,20241111 13:35:04
952,952,전용,EXCLUSIVE USE,EXUSE,1. 남과 공용으로 쓰지 아니하고 혼자서만 씀
2. 특정한 목적으로 일정한 부문에만 한하여 씀,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
953,953,이지업,EZ UP,EZUP,e-知 UP. 환경부 내부 멀티미디어 브리핑 서비스의 명칭,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
954,954,사실,FACT,FACT,事實 실제 있는 내용,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
955,955,어류평가지수,FISH ASSESSMENT INDEX,FAI,생물학적 온전성에 대한 평가지수,Y,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
956,956,실패,FAILURE,FAIL,失敗. 일을 잘못하여 뜻한 대로 되지 아니하거나 그르침,N,,,,제정,2023-09-06 00:00:00.0,Y,5차,20241111 13:35:04
957,957,FAQ,FREQUENTLY ASKED QUESTION,FAQ,빈번하게 묻는 질문,N,,,,제정,2023-09-06 00:00:00.0,Y,6차,20241111 13:35:04
958,958,농사용,FARMING,FARM,농사(곡류， 과채류 따위의 씨나 모종을 심어 기르고 거두는 따위의 일) 용도의,N,,농사， 농업,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
959,959,팩스,FACSIMILE,FAX,문자나 그림， 사진 따위를 미세한 점 등으로 분해한 후 전기 신호로 바꾸어 통신을 통해 다른 곳으로 전송하는 방식,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
960,960,제작,FABRICATION,FBCTN,製作. 재료를 가지고 기능과 내용을 가진 새로운 물건이나 예술 작품을 만듦,N,,,,수정,2021-07-14 00:00:00.0,Y,3차,20241111 13:35:04
961,961,시설면적,FACILITY AREA,FCAR,施設面積. 하나의 부지 안에 있는 바닥 면적으로， 주차를 위한 바닥 면적을 제외하고， 공용 면적을 포함한 바닥 면적을 합한 면적,Y,,,,수정,2021-07-14 00:00:00.0,Y,2차,20241111 13:35:04
962,962,FCC,FEDERAL COMMUNICATIONS COMMISSION,FCC,연방 통신 위원회,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
963,963,분원성대장균군,FECAL COLIFORMS,FCFS,분변에서 오염되어 검출되는 것으로 병원성균이나 기생충， 병원성 바이러스 등이 존재할 가능성이 있다는 것,N,,,,수정,2021-07-14 00:00:00.0,N,,20241111 13:35:04
964,964,설비별,(EQUIPMENT) FACILITY,FCL,설비(필요한 것을 베품어서 갖춤. 또는 그런 시설)마다,N,,설비,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
965,965,시설,FACILITIES,FCLT,施設. 도구， 기계， 장치 따위를 베풀어 설비함. 또는 그런 설비,N,,시설물， 시설별,,수정,2021-07-14 00:00:00.0,Y,5차,20241111 13:35:04
966,966,F컬럼,F COLUMN,FCOL,(테이블·엑셀 등) F컬럼,N,,,,제정,2023-09-06 00:00:00.0,N,,20241111 13:35:04
