표준단어명,표준단어 설명
모니터링계획수정신청자료여부,모니터링 계획 수정신청의 자료여부
모니터링계획제출자ID,모니터링 계획을 제출한 사람의 고유 체계
모니터링계획제출일시,모니터링 계획을 제출한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획수정보완요청일시,모니터링 계획 수정보완을 요청한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획수정보완요청자ID,모니터링 계획 수정보완을 요청한 사람의 고유 체계
모니터링계획검토통보자ID,모니터링 계획검토 통보한 사람의 고유 체계
모니터링계획검토통보사유내용,모니터링 계획검토 통보사유에 대한 내용
모니터링계획검토내용,모니터링 계획검토에 대한 내용
모니터링계획검토작성자ID,모니터링 계획검토를 작성한 사람의 고유 체계
모니터링계획검토작성일시,모니터링 계획검토를 작성한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획검토통보해제일시,모니터링 계획검토 통보를 해제한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획검토통보해제자ID,모니터링 계획검토 통보를 해제한 사람의 고유 체계
모니터링계획검토통보일시,모니터링 계획검토 통보한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획수정필요여부,모니터링 계획 수정이 필요한지 여부
모니터링계획검토첨부파일ID,모니터링 계획검토 첨부파일의 고유 체계
모니터링계획검토일련번호,모니터링 계획검토의 일련번호
모니터링계획수정요청일련번호,모니터링 계획 수정요청의 일련번호
모니터링계획변경후내용,모니터링 계획변경 이후에 대한 내용
모니터링계획변경영향분석내용,모니터링 계획메뉴변경의 영향분석에 대한 내용
모니터링계획변경이전내용,모니터링 계획변경 이전에 대한 내용
모니터링계획변경적용일자,모니터링 계획변경을 적용한 날짜
업종변경여부,업종 변경한지 여부
조직경계수정여부,조직 경계 수정한지 여부
배출활동시설변경여부,배출활동시설을 변경한지 여부
배출산정방법변경여부,배출 산정방법을 변경했는지 여부
활동자료변경여부,활동 자료 변경한지 여부
법령변경여부,법령이 변경한지 여부
담당자정보변경여부,담당자 정보변경한지 여부
기타변경여부,기타 변경한지 여부
모니터링계획변경요청작성자ID,모니터링 계획변경 요청을 작성한 사람의 고유 체계
모니터링계획변경요청작성일시,모니터링 계획변경 요청을 작성한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획변경제출자ID,모니터링 계획변경을 제출한 사람의 고유 체계
모니터링계획변경제출일시,모니터링 계획변경을 제출한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획메뉴오픈요청일시,모니터링 계획메뉴오픈을 요청한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획메뉴오픈요청내용,모니터링 계획메뉴오픈을 요청한 내용
모니터링계획메뉴오픈요청자ID,모니터링 계획메뉴오픈을 요청한 사람의 고유 체계
모니터링계획메뉴오픈검토내용,모니터링 계획메뉴오픈에 대한 검토내용
모니터링계획메뉴오픈검토일시,모니터링 계획메뉴오픈을 검토한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
모니터링계획메뉴오픈검토자ID,모니터링 계획메뉴오픈을 검토한 사람의 고유 체계
모니터링계획메뉴오픈요청일련번호,모니터링 계획메뉴오픈을 요청한 일련번호
적용불가통지서일련번호,적용불가 통지서의 일련번호
배출시설측정방법유형여부,배출시설 측정방법 유형의 여부
고유배출계수개발계획유형여부,고유 배출계수 개발계획유형의 여부
활동자료측정방법유형여부,활동 자료측정방법 유형의 여부
품질활동계획유형여부,품질활동의 계획유형여부
기타유형여부,기타 유형 여부
적용불가기존내역내용,적용불가 기존내역에 대한 내용
적용불가대체방법내역내용,적용불가 대체방법내역에 대한 내용
적용불가사유내용,적용불가 사유에 대한 내용
적용불가적용시작일자,적용불가 적용을 시작한 날짜
적용불가적용종료일자,적용불가 적용을 종료한 날짜
적용불가작성자ID,적용불가 작성한 사람의 고유 체계
적용불가작성일시,적용불가 작성한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
적용불가제출자ID,적용불가 제출한 사람의 고유 체계
적용불가제출일시,적용불가를 제출한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
삭제일련번호,삭제의 일련번호
배출시설일련번호정보내용,배출시설의 일련번호 정보에 대한 내용
문서완료여부,문서가 완료된지 여부
배출활동매개변수그룹ID,배출활동의 매개변수 그룹 고유 체계
배출활동매개변수ID,배출활동의 매개변수 고유 체계
사업장포함배출량,사업장 포함 배출량
사업장제외배출량,사업장 제외 배출량
에너지실적전환계수,에너지 실적전환의 계수
배출량실적전환계수,배출량의 실적전환 계수
수정사유내용,바로잡아 고친 사유의 내용
연료환산량실적계산값,연료 환산량의 실적계산값
연료환산량실적값,연료 환산량의 실적값
바이오매스배출량포함여부,바이오매스 배출량이 포함된지 여부
바이오매스제출파일ID,바이오매스 제출파일 고유 체계
에너지이용효율,에너지 이용효율
연료환산량,연료의 환산량
연료사용량,연료사용한 양
순수육불화황배출량,순수 육불화황의 배출량
순수과불화탄소배출량,순수 과불화탄소의 배출량
순수수소불화탄소배출량,순수 수소불화탄소의 배출량
순수아산화질소배출량,순수 아산화질소의 배출량
순수메탄배출량,순수 메탄의 배출량
순수산소배출량,순수 산소의 배출량
육불화황배출량,육불화황 배출량
과불화탄소배출량,과불화탄소 배출량
수소불화탄소배출량,수소불화탄소의 배출량
아산화질소배출량,아산화질소 배출량
메탄배출량,메탄 배출량
산소배출량,산소 배출량
CF4배출량,CF4의 배출량
매개변수첨부파일ID,매개변수 첨부파일의 고유 체계
배출량직접입력사유내용,배출량 직접입력사유에 대한 내용
사용월,사용한 월
에너지비용절감금액,에너지 비용절감 금액
사업추진단계명,사업을 추진하는 단계 이름
투자금액,투자한 금액
사업추진단계일련번호,사업을 추진하는 단계의 일련번호
공정폐열에너지사용량,공정 폐열에너지 사용량
순발열량,시료가 완전 연소되는 것에 의해 발생하는 단위 질량당 열량
실적명,실적의 이름
에너지저감량,에너지 저감량
온실가스저감량,온실가스 저감량
대상사업자명,대상 사업자 이름
연간판매량,연간 판매량
배출계수관계정보설명,배출계수 관계정보에 대한 설명
관리업체여부,관리 업체인지 여부
아산화질소판매량,아산화질소 판매량
메탄판매량,메탄 판매량
산소판매량,산소 판매량
총회수량,총 회수한 양
제품회수량,제품 회수한 양
총사용량,총 사용량
제품사용량,제품의 사용량
사용목적명,사용목적의 이름
사용실적일련번호,사용실적의 일련번호
계산계수방식명,계산 계수의 방식 이름
제품주입량,제품 주입한 양
제품재충전량,제품 재충전한 양
온실가스명,온실가스의 이름
목표명,목표의 이름
상세내역내용,상세내역에 대한 내용
감축대상명,감축 대상의 이름
사업개요첨부파일ID,사업개요 첨부파일의 고유 체계
개선전도식첨부파일ID,개선 전도식의 첨부파일 고유 체계
1차연도에너지절약목표량,1차 연도의 에너지 절약 목표량
1차연도기타목표실적량,1차 연도의 기타 목표 실적량
1차연도온실가스감축목표량,1차 연도의 온실가스 감축 목표량
1차연도기타목표량,1차 연도의 기타 목표량
이행계획시정조치일련번호,이행 계획시정조치의 일련번호
이행계획시정조치항목일련번호,이행 계획시정조치항목의 일련번호
시정조치요청사항내용,시정 조치요청사항에 대한 내용
온실가스신청가능량,온실가스 신청가능한 양
온실가스잔여량,온실가스 잔여량
에너지잔여량,에너지 잔여량
에너지신청가능량,에너지 신청가능한 양
온실가스반영량,온실가스 반영량
에너지반영량,에너지 반영된 양
반영이후온실가스잔여량,반영 이후 온실가스 잔여량
반영이후에너지잔여량,반영 이후 에너지 잔여량
회차,회차
개선명령이행계획내용,개선 명령 이행계획에 대한 내용
개선실적내용,개선 실적에 대한 내용
비관리사업장명,비관리 사업장의 이름
수소불화탄소판매량,수소불화탄소의 판매량
총발열량,총 발열량
육불화황판매량,육불화황 판매량
과불화탄소판매량,과불화탄소 판매량
비관리업체명,비관리 업체의 이름
산정근거첨부자료파일ID,산정 근거 첨부자료파일의 고유 체계
완료여부,완료 여부
에너지절약구성여부,에너지 절약구성의 여부
위원회2차개최일시,위원회의 2차 개최하는 날짜와 시간 (형태 : YYYYMMDDHHMISS)
위원회1차개최일시,위원회의 1차 개최하는 날짜와 시간 (형태 : YYYYMMDDHHMISS)
주관부서담당자명,주관 부서 담당자의 이름
주관부서명,주관 부서 명
위원장직위명,위원장의 직위 이름
위원장명,위원장의 이름
점검주관부서명,점검 주관부서의 이름
개선조치사항내용,개선 조치사항에 대한 내용
점검담당자명,점검 담당자의 이름
건축물명,건축물의 이름
예정일시,예정된 날짜와 시간 (형태 : YYYYMMDDHHMISS)
건축총면적,건축의 총 면적
지열용량,지열 용량
태양광용량,태양광 용량
기타설비명,기타 설비 이름
태양열용량,태양광 용량
이전연도비율,이전 연도 비율
이전연도LED조명수,이전 연도의 LED 조명 수
이전연도전체조명수,이전 연도의 전체 조명 수
이사계획여부,이사 계획의 여부
당해연도전기자동차수,당해연도 전기차 수
이전연도전기자동차수,이전 연도의 전기차 수
증빙자료첨부파일ID,증빙자료 첨부파일 고유 체계
이전연도연료전지차수,이전 연도의 연료 전지 차수
이전연도하이브리드수,이전 연도의 하이브리드 수
이전연도경차수,이전 연도의 경차 수
이전연도총보유수,이전 연도의 총 보유 수
이전연도총주차구역수,이전 연도의 총 주차구역 수
이전연도경차하이브리드주차구역수,이전 연도의 경차 하이브리드주자구역 수
상세항목여부,상세 항목의 여부
예비인증인증번호,예비인증의 인증번호
허가신청일시,허가 신청한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
예비인증취득여부,예비인증을 취득한지 여부
예비인증미취득사유내용,예비인증 미취득 사유에 대한 내용
지역냉방여부,지역냉방인지 여부
신재생에너지냉방여부,신재생 에너지 냉방여부
축냉설비여부,축냉 설비의 여부
소형열병합발전여부,소형 열병합 발전의 여부
가스냉방설비여부,가스 냉방설비의 여부
설치여부,설치한지 여부
의무대상여부,의무대상인지 여부
미설치사유기타내용,미설치한 사유 기타내용
진단기관명,진단 기관의 이름
진단비용,진단 비용
기대효과에너지절감량,기대효과 에너지 절감한 량
기대효과에너지절감금액,기대효과 에너지 절감한 금액
기대효과투자비용,기대효과 투자한 비용
기대효과개선제안건수,기대효과 개선제안의 건수
사업추진여부,사업을 추진하는 여부
기대효과절감금액,기대효과 절감한 금액
실외비율,실외 비율
실내비율,실내 비율
총LED조명수,총 LED 조명 수
비율합계값,비율합계 값
조명수합계값,총 조명수 합계 값
실외LED조명수,실외 LED 조명의 수
실외전체조명수,실외 전체 조명 수
실내LED조명수,실내 LED 조명의 수
실내전체조명수,실내 전체 조명수
취득일자,자기 것으로 만들어 가진 날짜
사용승인일자,사용을 승인한 날짜
계획예정일자,계획이 예정된 날짜
인증등급명,인증 등급 이름
이행대상여부,이행대상인지 여부
건물영역번호,건물 영역번호
건물주소,건물의 주소
실적작성여부,실적 작성한지 여부
설치예정완료일자,설치 예정완료된 날짜
배터리용량,배터리 용량
비대상사유내용,비대상 사유의 내용
이행의무대상여부,이행의무대상인지 여부
계약전력량,계약 전력량
점수,점수
현재인원수,현재 인원수
도로명상세주소,도로명 상세주소
2011년대상여부,2011년 대상인지 여부
2012년대상여부,2012년 대상인지 여부
2013년대상여부,2013년 대상인지 여부
2014년대상여부,2014년 대상인지 여부
2015년대상여부,2015년 대상인지 여부
2016년대상여부,2016년 대상인지 여부
2017년대상여부,2017년 대상인지 여부
2018년대상여부,2018년 대상인지 여부
2019년대상여부,2019년 대상인지 여부
2020년대상여부,2020년 대상인지 여부
지정일자,지정 날짜
지정취소일자,지정 취소한 날짜
지정취소ID,지정 취소 고유 체계
지정취소사유내용,지정취소사유에 대한 내용
이행계획확정여부,이행계획을 작성한지 여부
재제출요청여부,재제출 요청한지 여부
총괄기관확인일시,총괄 기관이 확인한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
이행연도배출목표량,이행연도의 배출 목표량
이행연도감축목표비율,이행연도의 감축 목표비율
이행연도감축목표량,이행연도의 감축 목표량
계획수정일시,계획을 수정한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
기준배출량대비감축비율,기준 배출량 대비 감축 비율
계획입력일시,계획을 입력한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
결과입력일시,결말의 상태 입력 날짜와 시간 (형태 : YYYYMMDDHHMISS)
결과수정일시,결과를 수정한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
결과수정자ID,결과를 수정한 사람의 고유 체계
계획수정자ID,계획을 수정한 사람의 고유 체계
결과등록자ID,결과 등록한 사람의 고유 체계
계획등록자ID,계획을 등록한 사람의 고유 체계
진행여부,진행되었는지 여부
이행결과내용,이행결과에 대한 내용
이행계획내용,이행 계획에 대한 내용
냉방난방면적,냉난방 면적
이행결과제외사유내용,이행결과 제외한 사유에 대한 내용
기준배출량포함배출량,기준 배출량에 포함된 배출량
이행결과제외시설여부,이행결과 제외한 시설여부
전체자동차수,전체 자동차의 수
특수차량수,특수 차량의 수
트럭개수,화물차의 개수
승합차수,승합차의 수
승용차수,승용차의 수
가스공급자고객번호,가스 공급자의 고객번호
증기공급자고객번호,증기 공급자 고객번호
폐쇄연월,폐쇄한 날짜
설치연월,설치 연월
전력공급자고객번호,전력 공급자의 고객번호
준공연도,준공 연도
임차면적,임차 면적
임대여부,임대인지 여부
계측가능여부,계측 가능한지 여부
이륜차수,이륜차의 수
자체참여시설여부,자체 참여시설인지 여부
계획제출일시,계획을 제출한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
건물분야내용,건물분야의 내용
차량분야설명,차량 분야에 대한 설명
조직직원형태개선내용,조직 직원형태 개선한 내용
이행실체자체점검관리내용,이행 실체 자체점검관리에 대한 내용
결과제출일시,결과를 제출한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
향후계획내용,향후 계획에 대한 내용
미흡사항내용,미흡한 사항 내용
목표미달성사유내용,목표 미달성 사유에 대한 내용
기타이행계획내용,기타 이행계획에 대한 내용
조정내역내용,조정 내역에 대한 내용
기준연도평균배출량,기준연도의 평균 배출량
조정사유내용,조정된 사유에 대한 내용
조정이후배출량,조정 이후의 배출량
조정이전배출량,조정 이전의 배출량
조정일시,조정한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
이행연도요구금액,이행연도의 요구금액
재정조달금액,재정 조달금액
국고지원소관부처명,국고 지원의 소관부처 이름
에너지사용량,에너지 사용량
임대건물전체배출량,임대건물 전체 배출량
임대건물전체에너지사용량,임대건물 전체 에너지 사용량
입력월,입력한 월
이행계획작성여부,이행계획을 작성한지 여부
배출량작성여부,배출량의 작성한지 여부
이행실적작성여부,이행 실적을 작성했는지 여부
에너지이용합리화제출대상여부,에너지 이용합리화 제출대상의 여부
본부여부,본부여부
목표관리등록일시,목표관리를 등록한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
조정이후기준배출량,조정 이후의 기준 배출량
조정량,조정의 양
이행연도평균배출량,이행연도의 평균 배출량
예산집행금액,예산집행의 금액
재정지원집행금액,재정 지원의 집행금액
재정지원지원금액,재정 지원금액
재정지원소관부처명,재정 지원의 소관부처 이름
배출목표미달사유내용,배출 목표 미달사유에 대한 내용
순발열량계수,순 발열량의 계수
이력번호,지금까지 거쳐 온 학업， 직업， 경험 등의 내력의 식별 숫자
지사명,지사의 이름
지사일련번호,지사의 일련번호
탄소점수량,탄소 점수량
계획연도,계획한 연도
감축량산정용량,감축량의 산정 용량
감축수단사업명,감축수단 사업의 이름
감축수단소분류기타내용,감축수단 소분류 기타내용
총감축량,총 감축량
형태감축량산정근거내용,형태 감축량 산정근거에 대한 내용
형태감축량,형태 감축량
형태감축수단내용,형태 감축 수단에 대한 내용
예산집행구분내용,예산집행을 구분하는 내용
감축량산정설치일자,감축량 산정 설치한 날짜
감축량산정근거내용,감축량 산정근거에 대한 내용
산정감축량,산정 감축량
감축량산정설비규모내용,감축량 산정설비 규모에 대한 내용
감축량산정단위기타내용,감축량 산정단위의 기타내용
기준연도일련번호,기준연도의 일련번호
평균감축비율,평균 감축비율
비고내용,문서 따위에서， 그 내용에 참고가 될 만한 사항을 담은 내용
차감배출량,차감 배출량
에너지사용확인번호,에너지 사용확인 번호
연계파일경로명,어떤 일이나 사람과 관련하여 관계를 맺은 파일의 경로 명
연계일련번호,어떤 일이나 사람과 관련하여 관계를 맺은 일련번호
감축목표비율,감축 목표의 비율
외부감축사업실적량,외부감축 사업실적량
탄소중립포인트실적량,탄소 중립 포인트의 실적량
평가제외배출량,평가 제외 배출량
평가제외기준배출량,평가 제외 기준의 배출량
감축비율,감축의 비율
목표배출량,목표를 배출한 양
온실가스감축량,온실가스의 감축량
탄소중립포인트감축량,탄소 중립 포인트의 감축량
외부감축사업감축량,외부감축 사업감축량
기관구분명,기관을 구분하는 이름
차량수,차량 수
건물수,건물의 개수
신재생에너지감축량,신재생에너지의 감축량
존속폐지여부,존속 폐지한지 여부
소속기관차수,소속기관의 차수
서열번호,서열번호
차수,차수
최하위기관명,가장 낮은 지위나 등급， 위치에 있는 기관의 이름
전체기관명,사회생활의 영역에서 일정한 역할과 목적을 위하여 설치한 기구나 조직의 전체 이름
지번번호,지번번호
변경이후소속기관명,변경 이후의 소속기관 이름
변경이후기관명,변경 이후의 기관 이름
변경이전소속기관명,변경 이전의 소속기관 이름
변경이전기관명,변경 이전의 기관 이름
작성자직위명,작성자의 직위 이름
작성자소속조직명,작성자의 소속 조직 이름
대상기관사업자등록번호,대상기관 사업자등록번호
제출자ID,문안이나 의견， 법안 등을 낸 사람의 고유 체계
등록첨부파일ID,등록 첨부파일 고유 체계
제출시분초,제출된 시간(시분초)
대상기관주소,대상 기관의 주소
대상기관대표자명,대상기관의 대표자 이름
재승인시분초,재승인한 시간(시분초)
재승인일자,재승인한 날짜
재승인자ID,재승인한 사람의 고유 체계
승인취소시분초,승인을 취소한 시분초
승인취소일자,승인을 취소한 날짜
승인취소자ID,승인을 취소한 사람의 고유 체계
승인시분초,승인한 시분초
승인첨부파일ID,승인 첨부파일의 고유 체계
사업장전체용량합계값,사업장 전체용량의 합계값
사업기간온실가스감축량,사업기간 온실가스의 감축량
연간온실가스감축량,연간 온실가스 감축량
사업상세내용,사업 상세한 내용
사업기간종료일자,사업 기간 종료 일자
사업기간시작일자,사업 기간 시작 일자
민간부담금값,민간 부담금 값
지방자치단체보조금액,지방자치단체의 보조금액
정부보조금액,정부 보조금액
적용기술기타명,적용기술의 기타이름
적용방법론기타명,적용 방법론의 기타이름
외부감축실적삭제사유내용,외부감축 실적 삭제사유에 대한 내용
등록신청서문서일련번호,등록신청문서의 일련번호
갱신예상감축량,갱신 예상의 감축량
갱신사업종료일자,갱신 사업을 종료한 날짜
갱신사업시작일자,갱신 사업을 시작한 날짜
설치규모단위코드사용자정의여부,설치규모단위코드의 사용자정의여부
용량단위코드사용자정의여부,용량단위코드의 사용자정의 여부
전체규모단위코드사용자정의여부,전체규모단위코드의 사용자정의 여부
전체규모값,전체 규모의 값
설치규모명,설치 규모의 이름
등록규모일련번호,등록규모의 일련번호
발행승인시분초,발행 승인한 시분초
발행승인일자,발행 승인한 날짜
발행승인자ID,발행을 승인한 사람의 고유 체계
인증실적량,인증 실적량
인증첨부파일ID,인증 첨부파일 고유 체계
수행종료일자,수행을 종료한 날짜
수행시작일자,수행을 시작한 날짜
발행신청서문서일련번호,발행 신청서문서의 일련번호
발행제출시분초,발행을 제출한 시분초
발행제출일자,발행 제출한 날짜
발행제출자ID,발행 제출한 사람의 고유 체계
발행첨부파일ID,발행 첨부파일 고유 체계
발행재승인시분초,발행을 재승인한 시분초
발행재승인일자,발행 재승인한 날짜
발행재승인자ID,발행을 재승인한 사람의 고유 체계
발행승인취소시분초,발행 승인취소한 시분초
발행승인취소일자,발행 승인취소한 날짜
발행승인취소자ID,발행 승인취소한 사람의 고유 체계
발행규모일련번호,발행 규모의 일련번호
수정요청상세내용,수정 요청에 대한 상세한 내용
수정요청일련번호,수정 요청의 일련번호
외부감축대상기관명,외부감축 대상기관 이름
소속기관일련번호,소속기관의 일련번호
수행종료일시,수행을 종료한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
수행시작일시,수행을 시작한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
협약량,협약량
협약첨부파일ID,협약 첨부파일의 고유 체계
협약비율,협약 비율
협약일련번호,협약의 일련번호
승인취소ID,승인 취소의 고유 체계
승인ID,승인의 고유 체계
신청연도,신청한 연도
현재연도사용신청량,현재연도의 사용신청량
현재연도실적량,현재연도의 실적량
이전연도누적사용량,이전 연도 누적 사용량
이전연도누적실적량,이전 연도 누적 실적량
잔여실적량,잔여 실적량
제출ID,제출된 고유 체계
협약여부,협약했는지 여부
동의대상여부,동의대상인지 여부
갱신승인자ID,갱신 승인자의 고유 체계
갱신승인일시,갱신을 승인한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
갱신신청ID,갱신신청의 고유 체계
갱신신청일시,갱신 신청한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
등록자전화번호,등록한 사람의 전화번호
등록자직위명,일정한 자격이나 조건을 갖추려고 단체나 기관에 문서나 서류 등을 등록한 사람의 직위 명칭
등록자조직소속명,등록한 사람의 조직 소속 이름
갱신신청일련번호,갱신신청의 일련번호
설치정의여부,설치정의의 여부
용량정의여부,용량 정의의 여부
이력생성일시,이력을 생성한 날짜와 시간 (형태 : YYYYMMDDHHMISS)
개선보안내용,개선 보안에 대한 내용
이행계획보고서개선사항일련번호,이행 계획보고서 개선사항의 일련번호
개선조치항목요청사항내용,개선 조치항목 요청사항에 대한 내용
개선조치항목일련번호,개선 조치항목의 일련번호
작업일자,작업한 날짜
작업내용,작업에 대한 내용
통보문서일련번호,통보문서의 일련번호
상세사유내용,상세 사유에 대한 내용
이행배출량,이행 배출량
이행할당량,이행 할당량
이행감축실적할당량,이행 감축 실적 할당량
이행초과감축할당량,이행 초과감축의 할당량
취소할당신청량,취소 할당신청량
할당일련번호,할당 일련번호
이행인정량,이행 인정량
이행무상할당량,이행 무상할당량
할당경계일련번호,할당 경계의 일련번호
사업장경계일련번호,사업장 경계의 일련번호
신설사업장경계여부,신설 사업장 경계여부
활동자료단위명,활동 자료단위의 이름
사업장인정량,사업장 인정량
할당경계유상여부,할당 경계 유상인지 여부
할당경계조정계수,할당 경계의 조정계수
신청사업장일련번호,신청 사업장의 일련번호
신청가능여부,신청 가능한지 여부
사업장이행활동자료량,사업장 이행활동의 자료량
사업장제외이행활동자료량,사업장 제외 이행활동 자료량
평균사업장기준배출량,평균 사업장 기준 배출량
산정신청배출량,산정 신청 배출량
추가신청배출량,추가 신청한 배출량
최종신청배출량,최종 신청한 배출량
평균사업장제외기준활동자료량,평균 사업장 제외 기준활동 자료량
접속설비여부,접속 설비의 여부
평균제외기준활동자료량,평균 제외기준활동의 자료량
평균참조기준활동자료량,평균 참조기준활동의 자료량
신청그룹일련번호,신청 그룹의 일련번호
신청그룹명,신청 그룹 이름
할당계수적용여부,할당 계수 적용한지 여부
이행활동자료량,이행 활동의 자료량
제외이행활동자료량,제외 이행활동의 자료량
평균기준활동자료량,평균 기준활동의 자료량
평균기준배출원계수,평균 기준 배출원의 계수
참조이행활동자료량,참조 이행활동의 자료량
입력이행배출량,입력 이행 배출량
평균입력기준배출량,평균 입력기준의 배출량
열병합발전시설여부,열병합 발전시설의 여부
대표시설일련번호,대표시설 일련번호
접속설비변경일자,접속 설비 변경한 날짜
접속설비증설이전용량,접속 설비 증설 이전의 용량
접속설비증설이후용량,접속 설비 증설 이후의 용량
접속설비용량단위값,접속 설비 용량 단위값
접속설비배출량,접속 설비의 배출량
접속설비예상배출량,접속 설비 예상 배출량
접속설비활동자료량,접속 설비 활동의 자료량
접속설비기타내용,접속 설비의 기타내용
접속설비용량증가비중,접속 설비 용량 증가 비중
접속설비배출량증가비중,접속 설비 배출량 증가 비중
상세입력이행배출량,상세 입력 이행의 배출량
평균상세입력기준배출량,평균 상세입력 기준의 배출량
개선적용일자,개선을 적용한 날짜
개선가동개시일자,개선 가동을 개시한 날짜
개선완료일자,개선이 완료된 날짜
개선항목명,개선항목의 이름
개선내용,개선된 내용
배출활동코드설명,배출활동의 코드 설명
할당계수대상여부,할당 계수의 대상인지 여부
신설사업장여부,신설 사업장인지 여부
할당계수,할당 계수
활동자료증가비중,활동 자료증가 비중
월평균활동자료량,월평균 활동 자료량
FCC파일일련번호,FCC 파일의 일련번호
변동유형기타사유내용,변동 유형기타사유에 대한 내용
변동기타연도,변동의 기타연도
예상활동자료량,예상활동의 자료량
사업장유형일련번호,사업장의 유형 일련번호
변동활동자료증가비중,변동 활동자료증가 비중
사업장할당일련번호,사업장 할당의 일련번호
문서작성일련번호,문서 작성한 일련번호
할당배출량비율,할당 배출량의 비율
생산이동신청여부,생산이동의 신청여부
활동자료량,활동 자료량
사유발생일자,사유 발생한 날짜
사유종료일자,사유가 종료된 날짜
예정가동일수,예정 가동할 일 수
감축실적신청여부,감축 실적의 신청 여부
사업장할당량,사업장 할당량
증가활동자료량,증가활동의 자료량
증가배출량,증가 배출량
신청취소할당량,신청 취소의 할당량
신청상세일련번호,신청 상세 일련번호
정기기간활동자료량,정기기간 활동 자료량
정기기간배출량,정기기간동안 배출량
미가동활동자료량,미가동 활동 자료량
미가동배출량,미가동 배출량
신청서가동예정일자,신청서 가동예정한 날짜
양도일자,양도한 날짜
정지경과일자,정지 경과된 날짜
승계업체명,승계 업체 이름
양도여부,양도한지 여부
입력감축실적량,입력 감축 실적량
초과감축할당량,초과 감축의 할당량
감축실적할당량,감축 실적의 할당량
입력업체할당량,입력 업체 할당량
업체총할당량,업체의 총 배출량
업체총배출량,업체의 총 배출량
연계설비기타내용,연계 설비의 기타에 대한 내용
연계설비활동자료량,연계 설비활동의 자료량
연계설비변경배출량,연계 설비 변경 배출량
연계설비배출량,연계 설비 배출량
연계설비비용량,연계 설비 비용량
연계설비증설이후용량,연계 설비증설 이후의 용량
연계설비증설이전용량,연계 설비증설 이전의 용량
연계설비변경일자,연계 설비 변경한 날짜
연계설비가동개시일자,연계 설비 가동개시한 날짜
연계설비여부,연계 설비의 여부
통보할당인정량,통보 할당인정량
이행연도배출량,이행연도의 배출량
추가할당발생연도,추가 할당이 발생한 연도
제출일시,문안이나 의견， 법안 등을 낸 날짜와 시간 (형태 : YYYYMMDDHHMISS)
처분명,처분 이름
처분유형명,처분의 유형 이름
문서출력여부,문서를 출력한지 여부
취소유형코드설명,취소 유형코드에 대한 설명
가동예정일자설명,가동 예정일자에 대한 설명
취소대상정보내용,취소 대상정보에 대한 내용
확인사항명,확인사항 이름
확인사항정보명,확인사항의 정보 이름
사전통보문서일련번호,사전 통보문서의 일련번호
무상할당비율,무상 할당의 비율
이월차감량,이월된 차감량
변동업체할당량,변동 업체의 할당량
최종업체할당량,최종 업체의 할당량
최초업체할당량,최초 업체의 할당량
평가파일일련번호,평가파일의 일련번호
통보업체수,통보 업체 수
할당유형명,할당 유형 이름
이의신청변동여부,이의신청이 변동의 여부
할당보정여부,할당 보정인지 여부
시설무상할당비율,시설 무상할당의 비율
사유메시지내용,사유메세지에 대한 내용
사유코드명,사유코드의 이름
할당량비율,할당량의 비율
이행연도할당량,이행연도의 할당량
시트번호,시트의 번호
업체추가무상할당량,업체 추가 무상할당량
업체추가할당량,업체 추가 할당량
할당경계설명,할당 경계에 대한 설명
할당대상정보내용,할당 대상 정보에 대한 내용
할당계획구분명,할당 계획을 구분하는 이름
변경사업장명,변경된 사업장 이름
변경사업장일련번호,변경 사업장의 일련번호
변경할당경계일련번호,변경 할당경계의 일련번호
변경할당대상정보내용,변경 할당 대상정보에 대한 내용
변동소량사업장여부,변동 소량 사업장인지 여부
최초보고연도,최초로 보고된 연도
감축실적최초발생연도,감축 실적의 최초 발생한 연도
도입연도,도입된 연도
방법론파일일련번호,방법론 파일의 일련번호
방법론구분명,방법론을 구분하는 이름
시설기준여부,시설 기준인지 여부
